2025-11-19T02:53:21.081Z | IP: 191.95.51.210 | Status: 200 | Time: 1254ms | Data: {"num_faces":0,"faces":[],"jerseys":[{"team":"Colombia","bbox":[0,558,186,640],"confidence":0.4747466666666667},{"team":"Colombia","bbox":[220,91,247,155],"confidence":0.055266666666666665},{"team":"Colombia","bbox":[143,80,195,172],"confidence":0.19086666666666666},{"team":"Colombia","bbox":[432,58,480,139],"confidence":0.18533333333333332},{"team":"Colombia","bbox":[20,0,332,187],"confidence":1.0}],"colombia_count":5,"match_time":null,"image_processed":true,"total_detections":5,"processing_times":{"total":1.082,"faces":0.137,"jerseys":0.012,"time_ocr":1.012}}
2025-11-19T02:53:21.244Z | IP: 172.225.173.129 | Status: 200 | Time: 1112ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.822,"faces":0.129,"jerseys":0.012,"time_ocr":0.756}}
2025-11-19T02:53:22.888Z | IP: 191.91.80.179 | Status: 200 | Time: 1075ms | Data: {"num_faces":1,"faces":[{"bbox":[290,409,447,252],"label":"undefined","score":0.9999991655349731}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.959,"faces":0.129,"jerseys":0.065,"time_ocr":0.91}}
2025-11-19T02:53:23.165Z | IP: 172.225.173.129 | Status: 200 | Time: 1152ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.821,"faces":0.102,"jerseys":0.016,"time_ocr":0.769}}
2025-11-19T02:53:23.197Z | IP: 191.95.51.210 | Status: 200 | Time: 1125ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.93,"faces":0.119,"jerseys":0.021,"time_ocr":0.843}}
2025-11-19T02:53:24.978Z | IP: 191.91.80.179 | Status: 200 | Time: 1039ms | Data: {"num_faces":1,"faces":[{"bbox":[295,417,456,256],"label":"undefined","score":0.9998340606689453}],"jerseys":[{"team":"Colombia","bbox":[137,2,538,480],"confidence":0.2629331350326538}],"colombia_count":1,"match_time":null,"image_processed":true,"total_detections":2,"processing_times":{"total":0.923,"faces":0.152,"jerseys":0.085,"time_ocr":0.868}}
2025-11-19T02:53:25.194Z | IP: 172.225.173.129 | Status: 200 | Time: 1081ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.844,"faces":0.122,"jerseys":0.018,"time_ocr":0.774}}
2025-11-19T02:53:25.196Z | IP: 191.95.51.210 | Status: 200 | Time: 1125ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.944,"faces":0.163,"jerseys":0.021,"time_ocr":0.861}}
2025-11-19T02:53:26.848Z | IP: 191.91.80.179 | Status: 200 | Time: 1034ms | Data: {"num_faces":1,"faces":[{"bbox":[231,456,421,266],"label":"undefined","score":0.9999879598617554}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.918,"faces":0.13,"jerseys":0.066,"time_ocr":0.87}}
2025-11-19T02:53:27.299Z | IP: 172.225.173.129 | Status: 200 | Time: 1126ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.84,"faces":0.121,"jerseys":0.054,"time_ocr":0.77}}
